'Tukija';'Tukijan y-tunnus/yhdistysrekisterinumero jos on';'Tukijan etunimet';'Tukijan sukunimi';'Tukijan kotikunta jos on';'Tukilahteen lomakenumerot';'Lainan nimi';'Lainan takaisinmaksuaika/laina-aika';'Tuen maara';'Tuen saajan etunimet';'Tuen saajan Sukunimi';'Vaalipiiri / Kunta';'Tuen saajan puolue'
'';'';'';'';'';'2.8';'';'';'0,00';'Ari';'Kesäläinen';'Hattula';'KOK'
'';'';'';'';'';'2.2';'';'';'0,00';'Mika';'Saarinen';'Hattula';'KESK'
'Itäväylän Vasemmisto';'3043412-5';'';'';'';'2.6';'';'';'1000,00';'Paavo';'Arhinmäki';'Helsinki';'VAS'
'Stiftelse för det tvåspråkiga Finland';'1749439-3';'';'';'';'2.7';'';'';'1000,00';'Paavo';'Arhinmäki';'Helsinki';'VAS'
'';'';'';'';'';'2.2';'';'';'0,00';'Kaisa';'Eskola';'Helsinki';'VAS'
'';'';'';'';'';'2.3';'';'';'0,00';'Kaisa';'Eskola';'Helsinki';'VAS'
'';'';'';'';'';'2.3';'';'';'0,00';'Kaisa';'Eskola';'Helsinki';'VAS'
'';'';'';'';'';'2.4';'';'';'0,00';'Kaisa';'Eskola';'Helsinki';'VAS'
'';'';'';'';'';'2.4';'';'';'0,00';'Kaisa';'Eskola';'Helsinki';'VAS'
'';'';'';'';'';'2.5';'';'';'0,00';'Kaisa';'Eskola';'Helsinki';'VAS'
'';'';'';'';'';'2.5';'';'';'0,00';'Kaisa';'Eskola';'Helsinki';'VAS'
'Stiftelsen för det tvåspråkiga Finland sr';'1749439-3';'';'';'';'2.7';'';'';'1000,00';'Veronika';'Honkasalo';'Helsinki';'VAS'
'';'';'Jonathan';'Hed';'Helsinki';'2.3';'';'';'1000,00';'Elina';'Kauppila';'Helsinki';'VAS'
'';'';'Tero';'Leponiemi';'Helsinki';'2.3';'';'';'2800,00';'Mai';'Kivelä';'Helsinki';'VAS'
'Stiftelsen för det Tvåspråkiga Finland';'1749439-3';'';'';'';'2.7';'';'';'1000,00';'Petra Pauliina';'Malin';'Helsinki';'VAS'
'';'';'';'';'';'2.2';'';'';'0,00';'Lotta';'Staffans';'Helsinki';'VAS'
'Tvåspråkigt finland';'';'';'';'';'2.7';'';'';'2000,00';'Maaret';'Castrén';'Helsinki';'KOK'
'';'';'Paula';'Salovaara';'Espoo';'2.3';'';'';'1550,00';'Sini';'Korpinen';'Helsinki';'KOK'
'PPV Holding Oy';'2387755-0';'';'';'';'2.4';'';'';'3000,00';'Sini';'Korpinen';'Helsinki';'KOK'
'Kokoomuksen Hyvät Siskot ry';'3038873-9';'';'';'';'2.6';'';'';'1050,00';'Sini';'Korpinen';'Helsinki';'KOK'
'';'';'Jussi';'Pajunen';'Helsinki';'2.3';'';'';'3000,00';'Jenni';'Pajunen';'Helsinki';'KOK'
'';'';'Juuso';'Pajunen';'Helsinki';'2.3';'';'';'1500,00';'Jenni';'Pajunen';'Helsinki';'KOK'
'';'';'Oskari';'Pétas';'Helsinki';'2.3';'';'';'1000,00';'Jenni';'Pajunen';'Helsinki';'KOK'
'Stiftelsen för det tvåspråkiga Finland';'';'';'';'';'2.7';'';'';'1000,00';'Laura';'Rissanen';'Helsinki';'KOK'
'';'';'Mika';'Marttila';'Helsinki';'2.3';'';'';'1000,00';'Fatim';'Diarra';'Helsinki';'VIHR'
'';'';'Paula';'Salovaara';'Helsinki';'2.3';'';'';'1501,00';'Fatim';'Diarra';'Helsinki';'VIHR'
'';'';'Tuuli';'Gröhn';'Helsinki';'2.3';'';'';'1299,00';'Fatim';'Diarra';'Helsinki';'VIHR'
'Stiftelsen för det tvåspråkiga Finland sr';'1749439-3';'';'';'';'2.7';'';'';'1000,00';'Fatim';'Diarra';'Helsinki';'VIHR'
'';'';'Kim';'Väisänen';'Helsinki';'2.3';'';'';'2000,00';'Atte';'Harjanne';'Helsinki';'VIHR'
'';'';'Risto';'Harjanne';'Vantaa';'2.3';'';'';'1000,00';'Atte';'Harjanne';'Helsinki';'VIHR'
